dstport,protocol,tag
60757,icmp,sv_P4
34007,udp,email
33405,icmp,email
11912,icmp,sv_P10
43541,gre,sv_P1
44077,icmp,sv_P2
61934,tcp,sv_P10
24554,tcp,sv_P2
15284,udp,sv_P5
62848,udp,sv_P2
14737,tcp,sv_P5
39917,gre,sv_P4
51874,tcp,sv_P4
22473,udp,sv_P10
18956,gre,email
32522,gre,sv_P1
42813,gre,sv_P1
3016,gre,email
22864,gre,sv_P1
35475,icmp,email
47293,udp,sv_P5
25705,gre,sv_P1
59043,gre,sv_P10
52724,tcp,email
10127,icmp,sv_P4
48155,udp,sv_P4
46016,icmp,sv_P1
8221,udp,sv_P2
52033,icmp,sv_P5
19893,icmp,sv_P4
38369,gre,email
834,gre,sv_P5
1605,icmp,sv_P5
38118,udp,sv_P2
52134,udp,email
50338,gre,sv_P2
8869,gre,sv_P4
32972,tcp,sv_P2
12425,gre,email
9500,udp,sv_P2
33450,udp,sv_P5
16883,udp,email
4957,icmp,email
21719,icmp,sv_P5
30253,gre,sv_P4
9723,gre,email
21651,icmp,email
53295,gre,sv_P3
5420,icmp,sv_P1
53143,tcp,sv_P3
12631,udp,sv_P10
33511,tcp,sv_P10
47420,tcp,sv_P10
26427,icmp,sv_P10
9810,udp,sv_P3
4136,gre,sv_P10
24093,icmp,sv_P4
33877,icmp,sv_P4
52619,udp,sv_P5
14803,tcp,sv_P5
2718,udp,sv_P10
30462,tcp,email
29805,gre,sv_P2
52942,tcp,sv_P5
2639,tcp,sv_P10
30642,tcp,sv_P4
61145,tcp,sv_P10
62028,gre,sv_P3
35665,udp,email
3666,udp,sv_P4
19851,udp,sv_P10
22266,udp,email
23603,tcp,sv_P1
52586,udp,sv_P1
46146,tcp,sv_P3
11526,udp,sv_P10
19326,tcp,sv_P10
44849,udp,sv_P2
56444,gre,sv_P2
8374,udp,sv_P1
27384,icmp,sv_P2
54395,gre,sv_P2
50811,udp,sv_P5
2269,gre,sv_P5
28928,gre,email
44489,gre,email
49172,gre,email
40498,gre,sv_P4
981,icmp,email
54524,tcp,sv_P3
19764,tcp,sv_P1
47940,gre,sv_P4
13896,icmp,email
19924,gre,sv_P5
9742,udp,sv_P3
8298,gre,sv_P4
13107,gre,sv_P3
60931,tcp,sv_P3
271,udp,sv_P4
1625,icmp,sv_P4
12828,gre,sv_P3
54076,udp,sv_P1
910,tcp,sv_P3
10440,udp,sv_P4
23933,udp,sv_P3
30986,icmp,email
30317,icmp,sv_P3
24907,tcp,sv_P3
64111,udp,sv_P5
64222,udp,sv_P2
40576,tcp,sv_P2
4242,tcp,sv_P10
44352,icmp,sv_P3
11825,gre,sv_P3
41847,udp,sv_P10
7044,gre,sv_P2
56914,gre,sv_P3
50853,icmp,sv_P5
54273,gre,sv_P1
9136,gre,sv_P1
44154,gre,sv_P10
51902,icmp,sv_P10
37163,gre,sv_P4
5688,icmp,sv_P5
46865,icmp,sv_P10
32167,udp,sv_P3
46558,gre,sv_P2
21598,udp,sv_P10
12435,gre,sv_P10
6093,tcp,sv_P10
46530,udp,sv_P3
35109,udp,email
61204,udp,email
33580,udp,sv_P3
54764,gre,sv_P5
46288,gre,sv_P4
40265,udp,sv_P2
49290,icmp,sv_P1
60243,tcp,sv_P4
45428,icmp,sv_P3
45142,udp,sv_P5
38160,tcp,sv_P1
1664,udp,sv_P5
29287,tcp,email
17334,gre,sv_P1
38725,udp,sv_P3
43645,udp,sv_P4
56872,icmp,sv_P3
7830,icmp,sv_P1
61684,gre,sv_P10
27719,icmp,sv_P4
50475,udp,sv_P5
46509,icmp,email
44963,gre,sv_P3
40447,icmp,sv_P4
4404,gre,sv_P3
22721,icmp,sv_P2
15767,tcp,sv_P10
30348,gre,sv_P4
40376,tcp,sv_P3
48558,tcp,sv_P10
50110,icmp,sv_P2
60746,icmp,sv_P3
8510,icmp,sv_P3
36106,udp,sv_P10
38203,udp,email
32285,icmp,sv_P10
48808,tcp,sv_P5
34370,icmp,sv_P2
55448,icmp,sv_P1
52265,icmp,sv_P1
54577,icmp,sv_P4
26080,gre,email
10511,udp,sv_P1
48583,icmp,email
18528,tcp,sv_P10
38212,icmp,sv_P4
18539,icmp,email
11796,gre,sv_P1
65097,tcp,sv_P10
28888,icmp,email
2486,udp,sv_P3
24989,tcp,sv_P3
55128,udp,sv_P4
13360,icmp,sv_P2
63166,icmp,sv_P5
46790,tcp,sv_P10
41059,gre,sv_P1
26981,icmp,sv_P5
23830,icmp,sv_P2
31641,icmp,sv_P4
44631,icmp,sv_P1
43985,gre,sv_P2
39776,udp,sv_P5
51233,udp,sv_P2
27280,gre,sv_P10
46964,icmp,sv_P4
62695,gre,email
24103,udp,sv_P10
37243,gre,sv_P5
11250,tcp,sv_P3
29958,tcp,sv_P2
39389,tcp,sv_P5
44623,tcp,sv_P4
37535,tcp,email
7101,gre,email
59944,gre,sv_P3
28783,tcp,sv_P5
59758,gre,sv_P4
45666,udp,email
50963,tcp,sv_P3
61147,udp,sv_P10
33928,tcp,sv_P4
62957,udp,sv_P4
51072,gre,sv_P4
6128,tcp,sv_P10
13841,tcp,email
60398,tcp,sv_P2
40540,udp,sv_P10
8095,gre,email
10173,icmp,email
7665,gre,sv_P4
45573,tcp,sv_P2
12641,udp,sv_P5
65438,gre,sv_P4
44799,tcp,sv_P3
50575,tcp,sv_P10
45244,tcp,email
61468,icmp,sv_P5
26665,icmp,sv_P1
5522,gre,sv_P3
3571,tcp,sv_P1
4208,icmp,sv_P10
11085,udp,sv_P5
486,icmp,email
5575,udp,sv_P1
49174,tcp,sv_P5
34069,tcp,sv_P4
16222,icmp,sv_P2
56902,tcp,sv_P2
27046,tcp,email
43532,gre,email
29208,tcp,sv_P2
64965,icmp,sv_P10
27997,icmp,sv_P3
49224,icmp,sv_P10
41931,icmp,sv_P3
16673,icmp,sv_P5
13634,icmp,sv_P2
30764,tcp,email
4814,udp,sv_P10
2715,udp,sv_P10
45069,tcp,sv_P2
27677,icmp,sv_P3
694,udp,sv_P10
36793,udp,sv_P4
6893,icmp,sv_P4
51071,tcp,sv_P10
29108,gre,sv_P3
26214,icmp,sv_P4
15301,udp,sv_P4
13658,icmp,sv_P4
36250,tcp,email
40829,gre,sv_P3
53014,udp,sv_P10
58003,icmp,sv_P4
30357,icmp,sv_P3
42290,udp,sv_P3
6720,tcp,sv_P5
752,gre,sv_P10
56253,icmp,email
17854,icmp,sv_P3
14266,udp,email
8510,gre,email
39716,udp,sv_P10
21040,tcp,sv_P2
30927,tcp,sv_P5
62780,udp,email
24427,tcp,sv_P4
61493,icmp,sv_P1
55543,gre,sv_P2
34312,gre,email
56342,tcp,sv_P1
345,tcp,email
20208,udp,sv_P2
57549,gre,sv_P10
53837,gre,sv_P1
36050,icmp,sv_P10
7838,icmp,sv_P10
9413,gre,email
45656,udp,sv_P2
26085,gre,sv_P2
51714,icmp,sv_P4
11814,gre,sv_P2
41956,gre,sv_P1
7802,tcp,sv_P3
6627,icmp,sv_P3
34397,tcp,sv_P2
3607,udp,email
22917,gre,sv_P5
37354,udp,sv_P5
13543,icmp,email
32868,gre,email
19375,gre,sv_P5
19143,gre,sv_P1
37036,gre,sv_P2
57384,gre,email
3313,tcp,sv_P5
60790,gre,sv_P10
21000,icmp,sv_P3
3160,gre,email
55297,udp,sv_P10
60750,gre,sv_P2
40106,icmp,sv_P10
35093,gre,email
7105,gre,sv_P10
9035,tcp,sv_P4
44702,tcp,sv_P4
28874,tcp,sv_P10
9517,tcp,sv_P2
18956,udp,sv_P1
36616,icmp,sv_P3
14287,gre,sv_P5
64905,gre,sv_P5
50966,gre,sv_P4
31575,udp,sv_P1
34503,gre,sv_P10
64630,tcp,sv_P5
42225,gre,sv_P4
54600,tcp,sv_P3
23914,tcp,sv_P5
54591,udp,sv_P2
55427,udp,sv_P10
34277,tcp,sv_P4
2668,tcp,sv_P2
51099,gre,email
1159,icmp,sv_P10
47002,icmp,sv_P2
47186,gre,sv_P1
39856,icmp,email
42460,gre,sv_P10
37126,udp,sv_P10
56880,tcp,sv_P10
31188,icmp,sv_P2
37782,udp,sv_P4
23611,tcp,email
50053,udp,sv_P2
48788,tcp,sv_P3
62080,udp,sv_P1
23767,gre,sv_P10
16551,icmp,sv_P5
33293,udp,sv_P5
31318,icmp,sv_P2
49396,udp,sv_P10
16498,gre,sv_P3
37726,udp,sv_P1
8404,tcp,sv_P10
47477,tcp,sv_P1
20533,gre,sv_P10
26367,icmp,sv_P1
54932,gre,sv_P3
25506,tcp,sv_P1
39478,tcp,sv_P3
18787,gre,email
40482,udp,sv_P2
2580,gre,sv_P2
31944,icmp,sv_P5
9588,udp,sv_P3
4623,gre,sv_P1
14415,udp,sv_P2
23880,udp,sv_P3
43383,gre,sv_P4
57280,gre,sv_P1
22975,udp,sv_P5
13072,gre,sv_P1
5190,udp,sv_P4
41468,udp,sv_P4
35534,udp,sv_P10
11371,gre,sv_P2
46534,gre,email
12632,tcp,sv_P10
1474,gre,sv_P3
24139,tcp,sv_P1
14387,udp,sv_P4
45585,tcp,sv_P4
21661,gre,sv_P3
14313,tcp,sv_P4
14111,udp,sv_P1
64347,tcp,email
32490,gre,sv_P3
4598,icmp,email
51076,icmp,sv_P4
13471,tcp,email
50572,udp,sv_P10
15460,gre,sv_P3
3954,udp,sv_P3
5403,icmp,sv_P5
12243,gre,sv_P2
35019,udp,email
28313,icmp,sv_P4
58494,udp,sv_P5
60187,tcp,sv_P10
10877,gre,sv_P5
34870,udp,sv_P3
52721,gre,sv_P3
63741,gre,sv_P5
5292,gre,sv_P4
19943,icmp,sv_P3
51497,icmp,sv_P5
3373,udp,sv_P2
54881,udp,sv_P2
39950,icmp,sv_P1
44162,tcp,sv_P4
35863,udp,sv_P2
16326,udp,email
40402,gre,sv_P3
10422,udp,sv_P5
49688,udp,email
25352,icmp,sv_P10
27941,tcp,sv_P2
36063,tcp,sv_P10
57378,udp,sv_P10
54219,udp,sv_P1
48426,icmp,sv_P1
14865,udp,sv_P3
9422,udp,sv_P3
49353,tcp,sv_P1
53879,icmp,sv_P2
11886,tcp,sv_P1
52479,tcp,email
61493,udp,sv_P1
33172,icmp,sv_P1
16670,gre,sv_P10
64761,tcp,email
7781,gre,sv_P5
46902,tcp,sv_P5
65067,udp,sv_P10
28954,tcp,email
37292,udp,sv_P3
38273,icmp,sv_P3
64376,icmp,sv_P3
12654,tcp,sv_P2
41557,gre,sv_P1
39469,gre,sv_P3
64148,udp,sv_P10
8309,udp,sv_P4
4799,gre,sv_P5
52635,udp,sv_P10
1574,udp,sv_P1
62688,gre,sv_P3
42456,udp,sv_P3
29920,icmp,sv_P3
16794,tcp,sv_P4
8363,gre,sv_P5
45239,icmp,sv_P5
28319,udp,sv_P2
19986,gre,sv_P10
49632,icmp,email
2641,tcp,sv_P5
12893,icmp,sv_P5
5239,tcp,sv_P4
20915,tcp,sv_P10
27108,gre,sv_P1
16437,tcp,sv_P10
285,udp,sv_P3
7417,tcp,sv_P3
41794,tcp,sv_P3
17049,udp,sv_P2
46897,gre,email
14515,gre,sv_P2
50299,gre,sv_P5
56037,icmp,sv_P2
22213,icmp,sv_P2
21732,tcp,sv_P4
55348,gre,sv_P3
41791,tcp,sv_P2
24241,tcp,sv_P10
57393,tcp,sv_P5
34461,icmp,sv_P10
53935,gre,sv_P10
38292,gre,sv_P5
16938,udp,email
60383,icmp,sv_P2
49400,tcp,sv_P4
41565,gre,email
65383,udp,sv_P2
34105,tcp,email
37022,tcp,sv_P1
57809,udp,sv_P10
18304,udp,sv_P2
31742,tcp,sv_P4
59837,tcp,sv_P5
47955,icmp,sv_P5
40220,gre,sv_P4
6406,icmp,sv_P3
32904,tcp,sv_P1
44748,icmp,sv_P10
12096,gre,email
14312,tcp,sv_P3
9213,tcp,sv_P4
48381,gre,sv_P1
57375,udp,email
7582,icmp,sv_P2
64202,icmp,email
2366,tcp,sv_P4
60205,gre,sv_P1
18177,gre,sv_P5
35139,udp,email
63761,icmp,sv_P3
35702,gre,sv_P10
9401,tcp,sv_P3
41718,icmp,sv_P5
38868,gre,sv_P3
23766,udp,sv_P3
9923,tcp,sv_P4
32887,icmp,sv_P4
39680,tcp,sv_P2
20770,gre,sv_P3
26988,icmp,sv_P3
25799,gre,sv_P2
43633,tcp,sv_P2
17238,icmp,sv_P1
63850,gre,sv_P1
52812,icmp,sv_P10
15504,gre,sv_P4
28757,gre,sv_P2
46966,udp,sv_P3
36686,udp,sv_P10
3300,tcp,sv_P10
12466,icmp,sv_P4
8622,tcp,sv_P4
13555,tcp,sv_P3
32241,udp,sv_P3
34718,gre,sv_P3
64199,tcp,sv_P3
28835,gre,sv_P4
18412,udp,email
5718,gre,sv_P5
50169,icmp,email
22615,icmp,sv_P5
3862,udp,sv_P2
8092,tcp,sv_P1
11263,udp,sv_P3
46055,udp,sv_P1
24141,tcp,sv_P10
44846,udp,sv_P1
37623,tcp,email
4556,gre,email
31811,gre,sv_P2
60639,gre,sv_P1
55158,tcp,email
22982,icmp,sv_P10
16223,icmp,sv_P1
13797,tcp,sv_P10
46411,udp,email
57491,tcp,sv_P2
63342,tcp,sv_P3
29786,tcp,sv_P10
14660,gre,sv_P1
54599,tcp,email
18803,gre,sv_P10
17614,icmp,sv_P1
446,gre,sv_P2
35578,udp,email
32897,tcp,email
56344,icmp,sv_P5
5890,icmp,sv_P2
54975,udp,sv_P2
48353,icmp,sv_P3
22496,gre,sv_P2
35829,tcp,email
8489,icmp,sv_P3
9873,udp,sv_P4
47682,icmp,sv_P10
28143,udp,sv_P10
35580,gre,sv_P3
31634,icmp,email
4238,gre,sv_P2
50915,udp,email
17694,udp,sv_P2
34830,gre,sv_P2
24390,gre,sv_P1
54877,udp,sv_P4
24309,icmp,sv_P10
25322,gre,sv_P10
10432,udp,sv_P3
28266,icmp,email
25234,tcp,sv_P3
5912,gre,sv_P2
10019,gre,sv_P4
58703,icmp,email
11757,udp,sv_P10
25750,udp,sv_P2
25313,tcp,email
46745,gre,sv_P5
44895,gre,sv_P10
37713,udp,sv_P5
56957,gre,sv_P2
14095,gre,sv_P2
10685,udp,sv_P1
33325,gre,sv_P10
42667,tcp,sv_P4
36314,tcp,sv_P10
59275,udp,sv_P3
23202,gre,sv_P4
46644,gre,sv_P10
721,tcp,email
37422,icmp,email
3430,icmp,sv_P5
33294,tcp,sv_P3
58613,tcp,email
23205,tcp,sv_P2
44751,udp,email
21009,gre,sv_P1
30731,icmp,sv_P5
4728,icmp,sv_P2
6532,gre,sv_P5
51673,tcp,sv_P5
18815,tcp,email
4741,icmp,sv_P5
43410,udp,sv_P5
41034,udp,sv_P5
2666,tcp,sv_P10
59856,gre,email
2913,tcp,sv_P3
28878,gre,sv_P3
20927,icmp,sv_P2
35294,tcp,sv_P10
26847,udp,email
46016,gre,sv_P4
47943,tcp,sv_P3
45,tcp,sv_P1
50526,gre,sv_P5
44994,gre,sv_P5
40614,tcp,sv_P10
56947,udp,sv_P3
60693,gre,sv_P5
47667,tcp,sv_P10
58128,gre,sv_P3
50206,udp,sv_P3
42294,icmp,sv_P5
45039,gre,sv_P3
2710,tcp,email
19318,tcp,sv_P4
32350,udp,sv_P2
8213,udp,sv_P3
63054,icmp,sv_P2
62724,tcp,email
60489,icmp,sv_P4
1046,udp,sv_P3
46300,icmp,sv_P5
4243,udp,sv_P5
14211,gre,sv_P4
43133,udp,sv_P2
65530,tcp,sv_P1
29772,udp,sv_P2
47121,icmp,sv_P10
10943,icmp,sv_P1
17463,gre,sv_P3
23172,udp,sv_P3
50546,udp,sv_P1
45798,udp,sv_P3
64961,udp,sv_P5
52377,tcp,sv_P3
45921,tcp,sv_P2
8626,tcp,sv_P10
24734,udp,sv_P10
53591,gre,sv_P5
21906,udp,sv_P4
1261,tcp,sv_P5
30045,udp,sv_P5
21782,icmp,sv_P10
51684,tcp,sv_P2
5319,icmp,sv_P4
43642,udp,sv_P2
61964,gre,sv_P10
16555,gre,sv_P4
52389,tcp,sv_P5
62473,tcp,sv_P2
57840,udp,sv_P3
49704,icmp,sv_P4
34378,tcp,sv_P4
17686,gre,sv_P4
33428,icmp,sv_P5
43820,tcp,email
47875,tcp,sv_P2
50013,gre,sv_P3
23009,icmp,email
49083,udp,email
44353,tcp,email
36820,gre,sv_P4
38836,gre,sv_P5
43172,icmp,email
19836,gre,sv_P3
36832,tcp,sv_P4
22558,icmp,email
50372,udp,sv_P3
59191,gre,sv_P2
37440,tcp,sv_P4
53083,tcp,email
10788,gre,sv_P2
61842,tcp,sv_P3
5887,gre,sv_P5
16751,tcp,sv_P5
64324,gre,sv_P4
38247,gre,email
64932,icmp,sv_P1
4603,icmp,sv_P10
23512,tcp,sv_P1
38978,udp,sv_P2
59008,icmp,sv_P2
